Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
SE,04/03/2019,12:47:33,0J4,Mount,FUN,NA,,,,,R,Erection,Intro,UN,Act 101-010,No Value,No Value,No Value,0
SE,04/03/2019,12:48:17,0J4,Mount,FUN,NA,,,,,R,Erection,Intro,UN,,No Value,No Value,No Value,0
SE,04/03/2019,12:48:24,0J4,Mount,FUN,NA,,,,,R,Erection,Intro,UN,,No Value,No Value,No Value,0
SE,04/03/2019,12:49:05,0J4,Mount,FUN,NA,,,,,R,Erection,Intro,UN,Same female since 12:27,No Value,No Value,No Value,0
SE,04/03/2019,12:49:37,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,Ejac,Same female since 12:27,No Value,No Value,No Value,0
SE,04/03/2019,12:51:13,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,UN,Same female since 12:27 ,No Value,No Value,No Value,0
SE,04/03/2019,12:52:18,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,UN,Same female since 12:27 ,No Value,No Value,No Value,0
SE,04/03/2019,12:54:47,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,UN,Same female since 12:27 ,No Value,No Value,No Value,0
SE,04/03/2019,12:56:56,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,UN,Same female since 12:27 ,No Value,No Value,No Value,0
SE,04/03/2019,12:57:07,0J4,Mount,FUN,NA,,,,,Grm,Erection,Intro,Ejac,Same female since 12:27 ,No Value,No Value,No Value,0
SE,04/03/2019,13:07:02,04T,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,No Value,No Value,No Value,0
SE,04/03/2019,13:07:44,04T,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,No Value,No Value,No Value,0
SE,04/03/2019,13:07:57,04T,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,No Value,No Value,No Value,0
